"jaar";"aantalbron";"Aantal";"Percentage";"groep"
"2018";"1 bron";327350;50;"Totaal huishoudens"
"2018";"2 bronnen";148490;22,8;"Totaal huishoudens"
"2018";"3 bronnen";92810;14,2;"Totaal huishoudens"
"2018";"4 bronnen";52270;8,1;"Totaal huishoudens"
"2018";"5 bronnen";21900;3,4;"Totaal huishoudens"
"2018";"6 bronnen";6390;1,1;"Totaal huishoudens"
"2018";"7 bronnen";1320;0,2;"Totaal huishoudens"
"2018";"8 bronnen";150;0,1;"Totaal huishoudens"
"2018";"9 bronnen";10;0;"Totaal huishoudens"
"2019";"1 bron";338040;53;"Totaal huishoudens"
"2019";"2 bronnen";141860;22,2;"Totaal huishoudens"
"2019";"3 bronnen";87090;13,6;"Totaal huishoudens"
"2019";"4 bronnen";46730;7,3;"Totaal huishoudens"
"2019";"5 bronnen";18530;2,9;"Totaal huishoudens"
"2019";"6 bronnen";5010;0,8;"Totaal huishoudens"
"2019";"7 bronnen";760;0,1;"Totaal huishoudens"
"2019";"8 bronnen";50;0;"Totaal huishoudens"
"2019";"9 bronnen";;;"Totaal huishoudens"
"2020-01";"1 bron";331930;53,1;"Totaal huishoudens"
"2020-01";"2 bronnen";137870;22,1;"Totaal huishoudens"
"2020-01";"3 bronnen";84060;13,4;"Totaal huishoudens"
"2020-01";"4 bronnen";46370;7,4;"Totaal huishoudens"
"2020-01";"5 bronnen";18970;3;"Totaal huishoudens"
"2020-01";"6 bronnen";5130;0,8;"Totaal huishoudens"
"2020-01";"7 bronnen";870;0,1;"Totaal huishoudens"
"2020-01";"8 bronnen";60;0;"Totaal huishoudens"
"2020-01";"9 bronnen";;;"Totaal huishoudens"
"2020-10";"1 bron";334110;54,8;"Totaal huishoudens"
"2020-10";"2 bronnen";132540;21,7;"Totaal huishoudens"
"2020-10";"3 bronnen";79340;13;"Totaal huishoudens"
"2020-10";"4 bronnen";42100;6,9;"Totaal huishoudens"
"2020-10";"5 bronnen";16590;2,7;"Totaal huishoudens"
"2020-10";"6 bronnen";4170;0,7;"Totaal huishoudens"
"2020-10";"7 bronnen";530;0,1;"Totaal huishoudens"
"2020-10";"8 bronnen";10;0;"Totaal huishoudens"
"2020-10";"9 bronnen";;;"Totaal huishoudens"
"2021-01";"1 bron";311710;52,4;"Totaal huishoudens"
"2021-01";"2 bronnen";132850;22,3;"Totaal huishoudens"
"2021-01";"3 bronnen";79680;13,4;"Totaal huishoudens"
"2021-01";"4 bronnen";44420;7,5;"Totaal huishoudens"
"2021-01";"5 bronnen";19200;3,2;"Totaal huishoudens"
"2021-01";"6 bronnen";5680;1;"Totaal huishoudens"
"2021-01";"7 bronnen";990;0,2;"Totaal huishoudens"
"2021-01";"8 bronnen";60;0;"Totaal huishoudens"
"2021-01";"9 bronnen";;;"Totaal huishoudens"
"2021-10";"1 bron";340850;55,4;"Totaal huishoudens"
"2021-10";"2 bronnen";133880;21,8;"Totaal huishoudens"
"2021-10";"3 bronnen";77660;12,6;"Totaal huishoudens"
"2021-10";"4 bronnen";42120;6,8;"Totaal huishoudens"
"2021-10";"5 bronnen";16510;2,7;"Totaal huishoudens"
"2021-10";"6 bronnen";4040;0,7;"Totaal huishoudens"
"2021-10";"7 bronnen";400;0,1;"Totaal huishoudens"
"2021-10";"8 bronnen";10;0;"Totaal huishoudens"
"2021-10";"9 bronnen";;;"Totaal huishoudens"
"2022-01";"1 bron";374280;56,5;"Totaal huishoudens"
"2022-01";"2 bronnen";136030;20,5;"Totaal huishoudens"
"2022-01";"3 bronnen";77750;11,7;"Totaal huishoudens"
"2022-01";"4 bronnen";44470;6,7;"Totaal huishoudens"
"2022-01";"5 bronnen";20400;3,1;"Totaal huishoudens"
"2022-01";"6 bronnen";7140;1,1;"Totaal huishoudens"
"2022-01";"7 bronnen";1770;0,3;"Totaal huishoudens"
"2022-01";"8 bronnen";280;0;"Totaal huishoudens"
"2022-01";"9 bronnen";30;0;"Totaal huishoudens"
"2022-01";"10 bronnen";;;"Totaal huishoudens"
"2023-01";"1 bron";420900;58;"Totaal huishoudens"
"2023-01";"2 bronnen";143990;19,8;"Totaal huishoudens"
"2023-01";"3 bronnen";79710;11;"Totaal huishoudens"
"2023-01";"4 bronnen";46470;6,4;"Totaal huishoudens"
"2023-01";"5 bronnen";23460;3,2;"Totaal huishoudens"
"2023-01";"6 bronnen";9080;1,2;"Totaal huishoudens"
"2023-01";"7 bronnen";2250;0,3;"Totaal huishoudens"
"2023-01";"8 bronnen";340;0;"Totaal huishoudens"
"2023-01";"9 bronnen";20;0;"Totaal huishoudens"
"2023-01";"10 bronnen";;;"Totaal huishoudens"
"2024-01";"1 bron";428380;57,3;"Totaal huishoudens"
"2024-01";"2 bronnen";149260;20;"Totaal huishoudens"
"2024-01";"3 bronnen";82250;11;"Totaal huishoudens"
"2024-01";"4 bronnen";49070;6,6;"Totaal huishoudens"
"2024-01";"5 bronnen";25590;3,4;"Totaal huishoudens"
"2024-01";"6 bronnen";10080;1,3;"Totaal huishoudens"
"2024-01";"7 bronnen";2510;0,3;"Totaal huishoudens"
"2024-01";"8 bronnen";370;0,1;"Totaal huishoudens"
"2024-01";"9 bronnen";40;0;"Totaal huishoudens"
"2024-01";"10 bronnen";10;0;"Totaal huishoudens"
