"jaar";"gemeentecode";"gemeentenaam";"Risicogroep_aantal";"Risicogroep_aandeel";"Instroomkans"
2018;"GM0003";"Appingedam";260;3,1;8,4
2018;"GM0010";"Delfzijl";530;2,9;8,5
2018;"GM0014";"Groningen";5890;3,4;5,5
2018;"GM0024";"Loppersum";170;2,3;
2018;"GM0034";"Almere";4630;3,4;7,2
2018;"GM0037";"Stadskanaal";520;2,2;6,3
2018;"GM0047";"Veendam";570;2,8;5,8
2018;"GM0050";"Zeewolde";350;2,2;8
2018;"GM0059";"Achtkarspelen";490;2,4;4,1
2018;"GM0060";"Ameland";40;1,5;
2018;"GM0072";"Harlingen";330;2,8;7
2018;"GM0074";"Heerenveen";800;2,1;5,4
2018;"GM0080";"Leeuwarden";2780;3,1;7,3
2018;"GM0085";"Ooststellingwerf";380;2;4,7
2018;"GM0086";"Opsterland";450;2;4
2018;"GM0088";"Schiermonnikoog";20;2;
2018;"GM0090";"Smallingerland";1050;2,6;7,7
2018;"GM0093";"Terschelling";70;1,8;
2018;"GM0096";"Vlieland";20;2,6;
2018;"GM0098";"Weststellingwerf";410;2,1;4,2
2018;"GM0106";"Assen";1220;2,5;7,1
2018;"GM0109";"Coevorden";600;2,2;4,7
2018;"GM0114";"Emmen";2190;2,8;5,4
2018;"GM0118";"Hoogeveen";880;2,2;6,3
2018;"GM0119";"Meppel";530;2,2;7,9
2018;"GM0141";"Almelo";1820;3,6;8,5
2018;"GM0147";"Borne";310;1,8;3,3
2018;"GM0148";"Dalfsen";230;1;5,8
2018;"GM0150";"Deventer";1900;2,7;7,4
2018;"GM0153";"Enschede";4050;3,6;6,9
2018;"GM0158";"Haaksbergen";320;1,7;6,6
2018;"GM0160";"Hardenberg";750;1,7;6,4
2018;"GM0163";"Hellendoorn";340;1,3;5,8
2018;"GM0164";"Hengelo";1720;2,9;6,3
2018;"GM0166";"Kampen";830;2,2;6,6
2018;"GM0168";"Losser";290;1,7;6,8
