"jaar";"bronlabel";"Aantal";"Percentage";"groep"
"2018";"Betalingsachterstand geregistreerd bij BKR";324620;49,9;"Totaal huishoudens"
"2018";"Zvw wanbetaler";241720;37,1;"Totaal huishoudens"
"2018";"Belastingdienst - overige aanslagen";212330;32,6;"Totaal huishoudens"
"2018";"Wet Mulder-boetes (CJIB)";152280;23,4;"Totaal huishoudens"
"2018";"Betalingsachterstand studieschuld (DUO)";86300;13,3;"Totaal huishoudens"
"2018";"Belastingdienst - toeslagen";78760;12,1;"Totaal huishoudens"
"2018";"Belastingdienst - oninbare schulden";68280;10,5;"Totaal huishoudens"
"2018";"Onder bewind/curatele vanwege schuld (CCBR)";42140;6,5;"Totaal huishoudens"
"2018";"Schuldregeling (BKR)";40000;6,1;"Totaal huishoudens"
"2018";"WSNP";23850;3,7;"Totaal huishoudens"
"2019";"Betalingsachterstand geregistreerd bij BKR";328490;51,5;"Totaal huishoudens"
"2019";"ZvW wanbetaler";234800;36,8;"Totaal huishoudens"
"2019";"Belastingdienst - overige aanslagen";209750;32,9;"Totaal huishoudens"
"2019";"Wet Mulder-boetes (CJIB)";131340;20,6;"Totaal huishoudens"
"2019";"Betalingsachterstand studieschuld (DUO)";87230;13,7;"Totaal huishoudens"
"2019";"Belastingdienst - toeslagen";75940;11,9;"Totaal huishoudens"
"2019";"Belastingdienst - oninbare schulden";66880;10,5;"Totaal huishoudens"
"2019";"Schuldregeling (BKR)";44120;6,9;"Totaal huishoudens"
"2019";"WSNP";19770;3,1;"Totaal huishoudens"
"2020-01";"Betalingsachterstand geregistreerd bij BKR";326940;52,3;"Totaal huishoudens"
"2020-01";"ZvW wanbetaler";226820;36,3;"Totaal huishoudens"
"2020-01";"Belastingdienst - overige aanslagen";207410;33,2;"Totaal huishoudens"
"2020-01";"Wet Mulder-boetes (CJIB)";125650;20,1;"Totaal huishoudens"
"2020-01";"Betalingsachterstand studieschuld (DUO)";89480;14,3;"Totaal huishoudens"
"2020-01";"Belastingdienst - toeslagen";74760;12;"Totaal huishoudens"
"2020-01";"Belastingdienst - oninbare schulden";68320;10,9;"Totaal huishoudens"
"2020-01";"Schuldregeling (BKR)";42430;6,8;"Totaal huishoudens"
"2020-01";"WSNP";15620;2,5;"Totaal huishoudens"
"2020-10";"Betalingsachterstand geregistreerd bij BKR";314030;51,5;"Totaal huishoudens"
"2020-10";"ZvW wanbetaler";221350;36,3;"Totaal huishoudens"
"2020-10";"Belastingdienst - overige aanslagen";205090;33,7;"Totaal huishoudens"
"2020-10";"Wet Mulder-boetes (CJIB)";124110;20,4;"Totaal huishoudens"
"2020-10";"Betalingsachterstand studieschuld (DUO)";89460;14,7;"Totaal huishoudens"
"2020-10";"Belastingdienst - toeslagen";71130;11,7;"Totaal huishoudens"
"2020-10";"Belastingdienst - oninbare schulden";50830;8,3;"Totaal huishoudens"
"2020-10";"Schuldregeling (BKR)";28640;4,7;"Totaal huishoudens"
"2020-10";"WSNP";12740;2,1;"Totaal huishoudens"
"2021-01";"Betalingsachterstand geregistreerd bij BKR";284210;47,8;"Totaal huishoudens"
"2021-01";"ZvW wanbetaler";219730;37;"Totaal huishoudens"
"2021-01";"Belastingdienst - overige aanslagen";218630;36,8;"Totaal huishoudens"
"2021-01";"Wet Mulder-boetes (CJIB)";122650;20,6;"Totaal huishoudens"
"2021-01";"Betalingsachterstand studieschuld (DUO)";82690;13,9;"Totaal huishoudens"
"2021-01";"Belastingdienst - toeslagen";77270;13;"Totaal huishoudens"
"2021-01";"Belastingdienst - oninbare schulden";75800;12,7;"Totaal huishoudens"
"2021-01";"Schuldregeling (BKR)";39060;6,6;"Totaal huishoudens"
"2021-01";"WSNP";11580;1,9;"Totaal huishoudens"
"2021-10";"Betalingsachterstand geregistreerd bij BKR";273510;44,4;"Totaal huishoudens"
"2021-10";"Belastingdienst - overige aanslagen";270740;44;"Totaal huishoudens"
"2021-10";"ZvW wanbetaler";207580;33,7;"Totaal huishoudens"
"2021-10";"Wet Mulder-boetes (CJIB)";119150;19,4;"Totaal huishoudens"
"2021-10";"Belastingdienst - toeslagen";92980;15,1;"Totaal huishoudens"
"2021-10";"Betalingsachterstand studieschuld (DUO)";80610;13,1;"Totaal huishoudens"
"2021-10";"Schuldregeling (BKR)";37860;6,2;"Totaal huishoudens"
"2021-10";"Belastingdienst - oninbare schulden";27700;4,5;"Totaal huishoudens"
"2021-10";"WSNP";9580;1,6;"Totaal huishoudens"
"2022-01";"Belastingdienst - overige aanslagen";284000;42,9;"Totaal huishoudens"
"2022-01";"Betalingsachterstand geregistreerd bij BKR";270030;40,8;"Totaal huishoudens"
"2022-01";"Zvw wanbetaler";204020;30,8;"Totaal huishoudens"
"2022-01";"Wet Mulder-boetes (CJIB)";119620;18,1;"Totaal huishoudens"
"2022-01";"Belastingdienst - toeslagen";111690;16,9;"Totaal huishoudens"
"2022-01";"Betalingsachterstand studieschuld (DUO)";77600;11,7;"Totaal huishoudens"
"2022-01";"Bijstandsvorderingen";42440;6,4;"Totaal huishoudens"
"2022-01";"Belastingdienst - oninbare schulden";42020;6,3;"Totaal huishoudens"
"2022-01";"Schuldregeling (BKR)";39010;5,9;"Totaal huishoudens"
"2022-01";"Betalingsachterstand bij UWV";14490;2,2;"Totaal huishoudens"
"2022-01";"WSNP";8650;1,3;"Totaal huishoudens"
"2022-01";"Betalingsachterstand bij SVB";2670;0,4;"Totaal huishoudens"
"2022-01";"Betalingsachterstand eigen bijdrage Wlz/Wmo";1010;0,2;"Totaal huishoudens"
"2023-01";"Belastingdienst - overige aanslagen";328360;45,2;"Totaal huishoudens"
"2023-01";"Betalingsachterstand geregistreerd bij BKR";252500;34,8;"Totaal huishoudens"
"2023-01";"Zvw wanbetaler";195490;26,9;"Totaal huishoudens"
"2023-01";"Belastingdienst - toeslagen";163010;22,4;"Totaal huishoudens"
"2023-01";"Wet Mulder-boetes (CJIB)";123680;17;"Totaal huishoudens"
"2023-01";"Belastingdienst - oninbare schulden";92920;12,8;"Totaal huishoudens"
"2023-01";"Betalingsachterstand studieschuld (DUO)";75620;10,4;"Totaal huishoudens"
"2023-01";"Bijstandsvorderingen";35360;4,9;"Totaal huishoudens"
"2023-01";"Schuldregeling (BKR)";35090;4,8;"Totaal huishoudens"
"2023-01";"Betalingsachterstand bij UWV";12790;1,8;"Totaal huishoudens"
"2023-01";"WSNP";6160;0,8;"Totaal huishoudens"
"2023-01";"Betalingsachterstand bij SVB";2590;0,4;"Totaal huishoudens"
"2023-01";"Betalingsachterstand eigen bijdrage Wlz/Wmo";720;0,1;"Totaal huishoudens"
"2024-01";"Belastingdienst - overige aanslagen";336150;45;"Totaal huishoudens"
"2024-01";"Betalingsachterstand geregistreerd bij BKR";255150;34,1;"Totaal huishoudens"
"2024-01";"Belastingdienst - toeslagen";199450;26,7;"Totaal huishoudens"
"2024-01";"Zvw wanbetaler";196110;26,2;"Totaal huishoudens"
"2024-01";"Wet Mulder-boetes (CJIB)";127760;17,1;"Totaal huishoudens"
"2024-01";"Belastingdienst - oninbare schulden";102740;13,7;"Totaal huishoudens"
"2024-01";"Betalingsachterstand studieschuld (DUO)";76620;10,2;"Totaal huishoudens"
"2024-01";"Bijstandsvorderingen";32710;4,4;"Totaal huishoudens"
"2024-01";"Schuldregeling (BKR)";31900;4,3;"Totaal huishoudens"
"2024-01";"Betalingsachterstand bij UWV";12640;1,7;"Totaal huishoudens"
"2024-01";"WSNP";5070;0,7;"Totaal huishoudens"
"2024-01";"Betalingsachterstand bij SVB";2370;0,3;"Totaal huishoudens"
"2024-01";"Betalingsachterstand eigen bijdrage Wlz/Wmo";680;0,1;"Totaal huishoudens"
